n,terminal,wtime,ru_utime,ru_stime,ru_maxrss,ru_inblock,ru_oublock
0,konsole,0.649247,0.6719999999999999,0.244,63808,0,16
1,konsole,0.710811,0.764,0.212,63404,0,16
2,konsole,0.676743,0.704,0.23199999999999998,63496,0,24
3,konsole,0.669904,0.7,0.22,63576,0,16
4,konsole,0.652059,0.74,0.19599999999999998,63432,0,16
5,konsole,0.694736,0.74,0.248,63908,0,16
6,konsole,0.627103,0.616,0.26799999999999996,63892,0,16
7,konsole,0.648697,0.708,0.208,63800,0,24
8,konsole,0.658199,0.712,0.22399999999999998,63600,0,24
9,konsole,0.661062,0.736,0.204,63908,0,16
10,konsole,0.66083,0.692,0.248,63752,0,16
11,konsole,0.658145,0.696,0.23199999999999998,63636,0,16
12,konsole,0.625002,0.6759999999999999,0.22,63840,0,24
13,konsole,0.660988,0.728,0.208,62672,0,16
14,konsole,0.682299,0.6799999999999999,0.27599999999999997,63604,0,16
15,konsole,0.663676,0.708,0.212,63232,0,16
16,konsole,0.63783,0.6599999999999999,0.252,62904,0,16
17,konsole,0.672514,0.736,0.212,63404,0,16
18,konsole,0.651646,0.6719999999999999,0.248,63512,0,24
19,konsole,0.641285,0.712,0.212,63848,0,16
20,konsole,0.645596,0.704,0.204,63824,0,16
21,konsole,0.654123,0.6559999999999999,0.27999999999999997,63324,0,16
22,konsole,0.674459,0.728,0.23199999999999998,63132,0,16
23,konsole,0.665666,0.692,0.26,63396,0,24
24,konsole,0.685402,0.728,0.212,63488,0,16
25,konsole,0.681372,0.704,0.26,63908,0,16
26,konsole,0.648566,0.6799999999999999,0.22399999999999998,63368,0,16
27,konsole,0.651062,0.692,0.22799999999999998,63568,0,16
28,konsole,0.673985,0.74,0.216,63708,0,24
29,konsole,0.69275,0.692,0.284,63484,0,16
30,konsole,0.655264,0.712,0.216,63724,0,16
31,konsole,0.660236,0.724,0.22,63468,0,24
32,konsole,0.659529,0.72,0.22799999999999998,63436,0,16
33,konsole,0.653423,0.6839999999999999,0.236,63792,0,16
34,konsole,0.687596,0.736,0.22,63748,0,24
35,konsole,0.633423,0.6799999999999999,0.216,63748,0,16
36,konsole,0.639805,0.6839999999999999,0.22799999999999998,63756,0,16
37,konsole,0.633351,0.696,0.204,63856,0,16
38,konsole,0.652351,0.692,0.23199999999999998,63512,0,16
39,konsole,0.646615,0.712,0.204,63420,0,24
40,konsole,0.640602,0.692,0.208,64084,0,16
41,konsole,0.648072,0.692,0.212,63780,0,16
42,konsole,0.655347,0.716,0.22,62616,0,16
43,konsole,0.655917,0.712,0.204,63668,0,16
44,konsole,0.661303,0.696,0.24,63436,0,24
45,konsole,0.642333,0.724,0.19999999999999998,63664,0,16
46,konsole,0.707258,0.772,0.208,63872,0,16
47,konsole,0.64847,0.704,0.19599999999999998,63944,0,16
48,konsole,0.650718,0.716,0.19599999999999998,63500,0,16
49,konsole,0.657042,0.74,0.19599999999999998,63588,0,16
50,konsole,0.65269,0.696,0.23199999999999998,63656,0,24
51,konsole,0.672087,0.696,0.244,64032,0,16
52,konsole,0.681671,0.732,0.24,63532,0,16
53,konsole,0.657663,0.724,0.204,63840,0,16
54,konsole,0.652733,0.716,0.22,63312,0,16
55,konsole,0.66437,0.688,0.24,63524,0,24
56,konsole,0.64037,0.6759999999999999,0.23199999999999998,63560,0,16
57,konsole,0.666047,0.712,0.244,63424,0,16
58,konsole,0.63883,0.692,0.22,63616,0,16
59,konsole,0.639564,0.72,0.19999999999999998,63992,0,16
60,konsole,0.663366,0.716,0.216,63500,0,24
61,konsole,0.642849,0.712,0.212,63280,0,16
62,konsole,0.6586,0.7,0.22,63516,0,16
63,konsole,0.679571,0.764,0.204,62960,0,16
64,konsole,0.639122,0.688,0.204,63632,0,16
