terminal,time,cpu,memory
uxterm,02.82,108,48884
uxterm,02.84,109,49144
uxterm,02.78,110,49128
uxterm,02.78,108,49060
uxterm,02.84,108,49056
uxterm,00.11,47,15396
uxterm,02.63,112,49060
uxterm,02.67,113,49104
uxterm,02.65,113,49204
uxterm,02.62,113,48924
uxterm,02.66,113,48940
uxterm,02.63,112,49160
uxterm,02.64,113,49052
uxterm,02.63,112,49092
uxterm,02.62,113,49148
uxterm,02.64,111,48984
uxterm,02.62,112,49044
uxterm,02.66,113,48880
uxterm,02.65,112,49168
uxterm,02.65,111,49076
uxterm,02.61,112,49028
uxterm,02.62,114,48852
uxterm,02.65,113,49064
uxterm,02.61,112,48860
uxterm,02.68,111,49136
uxterm,02.64,112,49060
uxterm,02.61,112,49140
uxterm,02.66,112,48976
uxterm,02.61,112,49036
uxterm,02.62,112,48920
uxterm,02.66,113,49240
uxterm,02.65,112,48852
uxterm,02.61,113,49140
uxterm,02.64,112,49028
uxterm,02.64,111,48976
uxterm,02.63,113,49100
uxterm,02.62,114,49164
uxterm,02.64,111,49084
uxterm,02.66,113,49140
uxterm,02.64,112,49080
uxterm,02.63,112,49196
uxterm,02.70,112,49164
uxterm,02.65,113,49044
uxterm,02.64,113,49152
uxterm,02.71,112,49068
uxterm,02.64,113,48984
uxterm,02.64,111,49144
uxterm,02.65,113,49112
uxterm,02.64,112,49072
uxterm,02.64,112,49148
uxterm,02.63,113,48988
uxterm,02.62,112,49264
uxterm,02.64,113,48884
uxterm,02.66,111,49112
uxterm,02.66,112,49160
uxterm,02.66,111,48984
uxterm,02.64,112,48980
uxterm,02.65,111,49140
uxterm,02.67,112,49088
uxterm,02.65,112,48984
uxterm,02.61,112,49200
uxterm,02.98,111,48920
uxterm,03.21,110,49156
uxterm,03.08,111,49180
uxterm,03.15,109,48888
uxterm,02.64,112,48884
uxterm,02.66,114,49092
uxterm,02.63,113,49008
uxterm,02.70,114,49176
uxterm,02.64,112,48900
uxterm,02.65,113,49148
uxterm,02.65,112,49052
uxterm,02.63,113,49080
uxterm,02.69,111,49112
uxterm,02.65,112,49036
uxterm,02.63,112,49088
uxterm,02.66,113,49076
uxterm,02.61,112,49048
uxterm,02.66,112,48852
uxterm,02.66,111,49100
uxterm,02.65,112,48880
uxterm,02.63,111,49212
uxterm,02.65,112,48992
uxterm,02.62,112,49200
uxterm,02.66,113,49052
uxterm,02.70,112,48936
uxterm,02.64,114,48852
uxterm,02.63,113,48980
uxterm,02.61,113,49004
uxterm,02.63,112,48880
uxterm,02.63,111,49220
uxterm,02.66,112,49128
uxterm,02.66,111,49172
uxterm,02.66,112,49076
uxterm,02.64,113,49112
uxterm,02.76,113,48920
uxterm,02.88,114,49172
uxterm,02.68,112,49192
uxterm,02.61,112,49060
uxterm,02.62,112,49204
uxterm,02.62,113,48968
uxterm,02.70,112,49008
uxterm,02.64,113,48836
uxterm,02.64,113,49040
uxterm,02.63,112,49072
uxterm,02.61,113,49100
xfce4-terminal,00.88,126,37440
xfce4-terminal,00.91,126,37084
xfce4-terminal,00.89,125,36836
xfce4-terminal,00.89,125,37024
xfce4-terminal,00.88,126,37268
xfce4-terminal,00.90,125,36856
xfce4-terminal,00.89,126,36896
xfce4-terminal,00.88,126,37196
xfce4-terminal,00.89,125,36824
xfce4-terminal,00.89,126,37572
xfce4-terminal,00.88,126,36844
xfce4-terminal,00.90,125,36688
xfce4-terminal,00.89,126,37140
xfce4-terminal,00.90,125,36712
xfce4-terminal,00.88,125,37268
xfce4-terminal,00.88,126,36996
xfce4-terminal,00.88,125,36884
xfce4-terminal,00.90,124,36960
xfce4-terminal,00.90,125,36868
xfce4-terminal,00.88,125,36944
xfce4-terminal,00.92,128,36788
xfce4-terminal,00.89,125,36932
xfce4-terminal,00.91,125,36868
xfce4-terminal,00.88,126,36904
xfce4-terminal,00.89,126,37468
xfce4-terminal,00.89,125,36852
xfce4-terminal,00.88,125,37120
xfce4-terminal,00.88,125,37056
xfce4-terminal,00.89,125,37216
xfce4-terminal,00.89,126,37120
xfce4-terminal,00.90,127,37056
xfce4-terminal,00.89,124,37268
xfce4-terminal,00.88,127,37360
xfce4-terminal,00.89,126,36876
xfce4-terminal,00.88,126,37116
xfce4-terminal,00.88,127,37136
xfce4-terminal,00.89,125,37088
xfce4-terminal,00.89,126,36860
xfce4-terminal,00.89,125,36976
xfce4-terminal,00.91,124,36984
xfce4-terminal,00.90,126,36772
xfce4-terminal,00.88,126,37564
xfce4-terminal,00.88,126,37016
xfce4-terminal,00.89,126,37168
xfce4-terminal,00.88,126,36760
xfce4-terminal,00.89,126,37500
xfce4-terminal,00.88,125,37692
xfce4-terminal,00.88,126,36980
xfce4-terminal,00.88,126,37032
xfce4-terminal,00.89,126,36916
xfce4-terminal,00.88,125,36988
xfce4-terminal,00.89,126,36956
xfce4-terminal,00.91,124,36660
xfce4-terminal,00.88,126,37428
xfce4-terminal,00.88,126,37132
xfce4-terminal,00.90,125,37052
xfce4-terminal,00.91,123,37272
xfce4-terminal,00.89,125,37024
xfce4-terminal,00.92,126,36968
xfce4-terminal,00.89,126,37452
xfce4-terminal,00.88,127,37348
xfce4-terminal,00.89,126,37388
xfce4-terminal,00.88,126,36896
xfce4-terminal,00.88,126,37232
xfce4-terminal,00.87,126,37092
xfce4-terminal,00.89,126,37112
xfce4-terminal,00.89,125,36900
xfce4-terminal,00.90,125,37388
xfce4-terminal,00.91,126,36792
xfce4-terminal,00.88,125,37388
xfce4-terminal,00.89,127,37024
xfce4-terminal,00.88,126,37220
xfce4-terminal,00.92,122,36988
xfce4-terminal,00.88,126,37184
xfce4-terminal,00.89,125,37464
xfce4-terminal,00.87,127,37388
xfce4-terminal,00.89,126,37056
xfce4-terminal,00.88,126,37388
xfce4-terminal,00.90,125,36828
xfce4-terminal,00.89,126,37336
xfce4-terminal,00.89,126,37556
xfce4-terminal,00.88,126,37328
xfce4-terminal,00.90,125,36964
xfce4-terminal,00.88,125,37228
xfce4-terminal,00.89,126,37256
xfce4-terminal,00.89,126,37312
xfce4-terminal,00.88,125,36920
xfce4-terminal,00.88,126,36960
xfce4-terminal,00.88,127,37156
xfce4-terminal,00.91,124,37128
xfce4-terminal,00.88,126,37284
xfce4-terminal,00.90,126,37180
xfce4-terminal,00.91,125,36700
xfce4-terminal,00.88,125,37188
xfce4-terminal,00.90,125,37128
xfce4-terminal,00.88,126,36676
xfce4-terminal,00.89,126,37136
xfce4-terminal,00.89,126,37380
xfce4-terminal,00.89,125,37336
xfce4-terminal,00.89,126,37008
konsole,00.70,139,55124
konsole,00.72,139,55364
konsole,00.77,136,55592
konsole,00.71,139,55140
konsole,00.71,139,55260
konsole,00.71,140,55432
konsole,00.73,137,55540
konsole,00.76,139,55160
konsole,00.72,138,55284
konsole,00.77,139,55628
konsole,00.78,136,55264
konsole,00.73,139,55352
konsole,00.72,139,55344
konsole,00.71,139,55308
konsole,00.74,139,55208
konsole,00.71,139,55232
konsole,00.75,138,55364
konsole,00.72,139,55472
konsole,00.72,139,55352
konsole,00.70,139,55124
konsole,00.71,140,55328
konsole,00.71,139,55448
konsole,00.73,139,55404
konsole,00.76,139,55232
konsole,00.71,140,55340
konsole,00.73,138,55440
konsole,00.70,139,55364
konsole,00.85,133,55312
konsole,00.74,139,55228
konsole,00.71,138,55100
konsole,00.70,139,55480
konsole,00.70,139,55244
konsole,00.81,136,55348
konsole,00.74,139,55328
konsole,00.71,139,55272
konsole,00.71,139,55604
konsole,00.72,140,55576
konsole,00.74,137,55388
konsole,00.73,139,55448
konsole,00.75,140,55120
konsole,00.80,135,55232
konsole,00.73,139,55504
konsole,00.71,140,55340
konsole,00.73,139,55548
konsole,00.70,139,55488
konsole,00.71,139,55236
konsole,00.71,139,55440
konsole,00.78,135,55196
konsole,00.77,136,55344
konsole,00.71,140,55192
konsole,00.71,139,55424
konsole,00.76,139,55416
konsole,00.71,139,55348
konsole,00.71,139,55300
konsole,00.72,140,55056
konsole,00.75,139,55524
konsole,00.74,139,55292
konsole,00.79,136,55524
konsole,00.73,139,55608
konsole,00.70,139,55184
konsole,00.71,139,55176
konsole,00.72,139,55296
konsole,00.74,139,55356
konsole,00.73,139,55300
konsole,00.72,139,55276
konsole,00.72,139,55352
konsole,00.71,139,55316
konsole,00.80,135,55664
konsole,00.78,137,55388
konsole,00.72,140,55384
konsole,00.70,139,55236
konsole,00.75,141,55292
konsole,00.72,139,55296
konsole,00.80,137,55372
konsole,00.72,139,55568
konsole,00.76,139,55292
konsole,00.72,139,55428
konsole,00.75,140,55276
konsole,00.74,139,55204
konsole,00.73,140,55264
konsole,00.74,138,55348
konsole,00.70,139,55356
konsole,00.76,139,55508
konsole,00.76,136,55460
konsole,00.74,138,55344
konsole,00.75,137,55312
konsole,00.83,135,55296
konsole,00.77,137,55416
konsole,00.71,139,55320
konsole,00.72,139,55144
konsole,00.74,138,55252
konsole,00.72,139,55228
konsole,00.72,139,55296
konsole,00.71,139,55332
konsole,00.74,137,55532
konsole,00.76,139,55404
konsole,00.74,138,55424
konsole,00.73,139,55236
konsole,00.72,138,55088
konsole,00.72,138,55476
pterm,01.99,115,23256
pterm,02.03,115,23728
pterm,02.03,115,23448
pterm,02.02,115,23448
pterm,02.02,115,23296
pterm,02.01,115,23140
pterm,02.01,115,23288
pterm,02.00,114,23428
pterm,01.99,115,22956
pterm,02.05,115,23248
pterm,01.99,115,23632
pterm,01.98,115,23244
pterm,01.98,115,23404
pterm,02.02,115,23516
pterm,01.97,115,23676
pterm,02.04,115,23460
pterm,02.00,115,23328
pterm,01.97,114,23580
pterm,01.99,115,23404
pterm,02.00,114,23560
pterm,02.01,115,23640
pterm,01.98,115,23428
pterm,02.00,115,23564
pterm,02.00,115,23620
pterm,02.03,115,23616
pterm,00.85,135,23188
pterm,02.01,115,23324
pterm,02.01,115,23636
pterm,01.99,115,23388
pterm,02.04,115,23776
pterm,02.01,115,23448
pterm,02.01,115,23548
pterm,02.01,114,23532
pterm,02.01,115,23244
pterm,02.01,115,23508
pterm,01.99,115,23576
pterm,02.01,115,23652
pterm,01.99,115,23040
pterm,01.99,115,23376
pterm,02.02,115,23620
pterm,01.98,115,23360
pterm,01.98,114,23140
pterm,01.99,115,23584
pterm,02.00,115,23372
pterm,01.99,115,23652
pterm,02.01,115,23628
pterm,02.02,115,23492
pterm,02.03,115,23540
pterm,01.99,115,22964
pterm,01.98,115,23380
pterm,01.99,115,23684
pterm,01.99,115,23328
pterm,02.01,115,23060
pterm,01.98,115,23444
pterm,02.01,115,23604
pterm,02.01,115,23592
pterm,01.34,123,23212
pterm,02.00,115,23044
pterm,02.03,115,23096
pterm,01.97,115,23608
pterm,02.03,115,23116
pterm,02.00,115,23296
pterm,02.01,114,23456
pterm,02.00,115,23044
pterm,02.01,115,23480
pterm,01.98,114,23028
pterm,02.00,115,23412
pterm,02.00,115,23552
pterm,02.00,115,23144
pterm,02.01,115,23532
pterm,02.01,115,23380
pterm,01.99,115,23344
pterm,01.99,115,23588
pterm,02.00,115,23364
pterm,02.01,115,23040
pterm,02.00,115,23360
pterm,02.03,115,23688
pterm,02.03,115,23768
pterm,02.00,115,23576
pterm,02.04,115,23044
pterm,02.01,115,23408
pterm,02.01,115,23696
pterm,02.59,91,23168
pterm,01.98,115,23480
pterm,02.00,115,23352
pterm,02.00,115,22964
pterm,01.99,115,23480
