n,terminal,wtime,count,index,ru_idrss,ru_inblock,ru_isrss,ru_ixrss,ru_majflt,ru_maxrss,ru_minflt,ru_msgrcv,ru_msgsnd,ru_nivcsw,ru_nsignals,ru_nswap,ru_nvcsw,ru_oublock,ru_stime,ru_utime
0,konsole,0.883621,<built-in method count of resource.struct_rusage object at 0x7f136921d1a8>,<built-in method index of resource.struct_rusage object at 0x7f136921d1a8>,0,0,0,0,0,68448,12403,0,0,2314,0,0,2004,168,0.279684,0.852395
1,konsole,0.867443,<built-in method count of resource.struct_rusage object at 0x7f136921d258>,<built-in method index of resource.struct_rusage object at 0x7f136921d258>,0,0,0,0,0,69328,12456,0,0,99,0,0,2076,224,0.254779,0.832916
2,konsole,0.864047,<built-in method count of resource.struct_rusage object at 0x7f136921d0f8>,<built-in method index of resource.struct_rusage object at 0x7f136921d0f8>,0,0,0,0,0,69064,12430,0,0,105,0,0,2051,160,0.29767499999999997,0.800449
3,konsole,0.84112,<built-in method count of resource.struct_rusage object at 0x7f136921d1a8>,<built-in method index of resource.struct_rusage object at 0x7f136921d1a8>,0,0,0,0,0,68372,12407,0,0,1038,0,0,2039,160,0.259266,0.817349
4,konsole,0.828485,<built-in method count of resource.struct_rusage object at 0x7f136921d258>,<built-in method index of resource.struct_rusage object at 0x7f136921d258>,0,0,0,0,0,68616,12410,0,0,1406,0,0,2328,160,0.264685,0.7912469999999999
5,konsole,0.825416,<built-in method count of resource.struct_rusage object at 0x7f136921d0f8>,<built-in method index of resource.struct_rusage object at 0x7f136921d0f8>,0,0,0,0,0,68520,12423,0,0,663,0,0,2039,160,0.26553,0.814059
6,konsole,0.855036,<built-in method count of resource.struct_rusage object at 0x7f136921d1a8>,<built-in method index of resource.struct_rusage object at 0x7f136921d1a8>,0,0,0,0,0,68444,12406,0,0,341,0,0,2007,160,0.25412399999999996,0.822809
7,konsole,0.834093,<built-in method count of resource.struct_rusage object at 0x7f136921d258>,<built-in method index of resource.struct_rusage object at 0x7f136921d258>,0,0,0,0,0,68500,12407,0,0,1866,0,0,2036,160,0.262768,0.7980929999999999
8,konsole,0.807817,<built-in method count of resource.struct_rusage object at 0x7f136921d0f8>,<built-in method index of resource.struct_rusage object at 0x7f136921d0f8>,0,0,0,0,0,68832,12443,0,0,99,0,0,2076,160,0.264444,0.760968
9,konsole,0.85903,<built-in method count of resource.struct_rusage object at 0x7f136921d1a8>,<built-in method index of resource.struct_rusage object at 0x7f136921d1a8>,0,0,0,0,0,69328,12432,0,0,741,0,0,1979,160,0.28571799999999997,0.814805
10,konsole,0.842298,<built-in method count of resource.struct_rusage object at 0x7f136921d258>,<built-in method index of resource.struct_rusage object at 0x7f136921d258>,0,0,0,0,0,68460,12440,0,0,451,0,0,2087,168,0.264106,0.813616
11,konsole,0.839769,<built-in method count of resource.struct_rusage object at 0x7f136921d0f8>,<built-in method index of resource.struct_rusage object at 0x7f136921d0f8>,0,0,0,0,0,69268,12450,0,0,119,0,0,2048,192,0.266669,0.808348
12,konsole,0.851732,<built-in method count of resource.struct_rusage object at 0x7f136921d308>,<built-in method index of resource.struct_rusage object at 0x7f136921d308>,0,0,0,0,0,68684,12457,0,0,408,0,0,2029,288,0.26209099999999996,0.830476
13,konsole,0.834031,<built-in method count of resource.struct_rusage object at 0x7f136921d1a8>,<built-in method index of resource.struct_rusage object at 0x7f136921d1a8>,0,0,0,0,0,69224,12467,0,0,606,0,0,2003,256,0.26583599999999996,0.792553
