terminal,time,cpu,memory
konsole,00.92,123,68552
konsole,00.93,124,68404
konsole,00.93,123,68460
konsole,00.90,128,68536
konsole,00.88,128,68332
konsole,00.87,127,68680
konsole,00.91,126,69220
konsole,00.92,125,69176
konsole,00.92,126,68464
konsole,00.91,127,68844
konsole,00.92,127,68480
konsole,00.93,126,69208
konsole,00.89,127,68968
konsole,00.87,126,68944
konsole,00.89,126,68880
konsole,00.91,126,68556
konsole,00.90,126,69076
konsole,00.91,127,68640
konsole,00.91,124,68708
konsole,00.86,128,68780
konsole,00.93,125,68708
konsole,00.91,125,68496
konsole,00.90,125,68740
konsole,00.91,126,68944
konsole,00.93,122,68780
konsole,00.88,126,69344
konsole,00.93,125,69424
konsole,00.93,119,69284
konsole,00.89,125,68300
konsole,00.91,126,69308
konsole,00.93,126,68668
konsole,00.94,125,68764
konsole,00.89,129,68556
konsole,00.92,124,68612
konsole,00.95,125,68660
konsole,00.92,119,68356
konsole,00.89,128,68584
konsole,00.93,126,68900
konsole,00.93,126,69068
konsole,00.95,126,68828
konsole,00.93,125,68332
konsole,00.89,128,69092
konsole,00.94,125,68120
konsole,00.92,125,68872
konsole,00.92,123,68552
konsole,00.95,126,69008
konsole,00.93,125,68416
konsole,00.88,126,69232
konsole,00.90,128,68836
konsole,00.90,127,68492
konsole,00.89,125,68776
konsole,00.89,125,68532
konsole,00.93,126,68616
konsole,00.93,123,68776
konsole,00.91,125,68924
konsole,00.94,126,68888
konsole,00.86,127,68508
konsole,00.84,128,68572
konsole,00.90,126,68744
konsole,00.89,127,68564
konsole,00.87,130,68428
konsole,00.90,127,68940
konsole,00.91,128,68844
konsole,00.92,124,68456
konsole,00.90,128,68412
konsole,00.91,126,68492
konsole,00.93,125,69000
konsole,00.90,126,68072
konsole,00.89,126,68892
konsole,00.90,126,68692
konsole,00.87,125,68004
konsole,00.92,126,68896
konsole,00.91,128,68656
konsole,00.93,127,69072
konsole,00.88,128,69000
konsole,00.94,122,68908
konsole,00.89,125,68932
konsole,00.89,128,68612
konsole,00.91,125,68560
konsole,00.87,126,68936
konsole,00.92,124,68772
konsole,00.89,123,68628
konsole,00.91,127,68872
konsole,00.91,127,68620
konsole,00.90,128,68256
konsole,00.90,130,69380
konsole,00.96,117,68860
konsole,00.92,124,69132
konsole,00.92,125,68764
konsole,00.92,126,68440
konsole,00.90,125,68500
konsole,00.95,125,68824
konsole,00.90,125,68792
konsole,00.93,123,68808
konsole,00.88,128,68744
konsole,00.88,125,68676
konsole,00.88,127,68572
konsole,00.90,127,68636
konsole,00.93,125,68556
konsole,00.97,125,68788
pterm,01.00,132,20036
pterm,01.00,132,19740
pterm,00.98,133,20296
pterm,00.97,133,20060
pterm,00.98,132,20120
pterm,00.98,132,20280
pterm,00.98,132,19864
pterm,00.97,133,19724
pterm,00.99,132,20060
pterm,01.00,133,20304
pterm,01.01,132,20280
pterm,00.98,132,20040
pterm,01.00,132,20092
pterm,01.00,133,20036
pterm,00.98,132,20100
pterm,00.98,133,20244
pterm,00.98,132,19740
pterm,00.97,133,19876
pterm,00.98,133,20060
pterm,00.97,132,20300
pterm,00.96,133,19692
pterm,00.97,133,20004
pterm,00.98,133,20092
pterm,00.97,133,19752
pterm,00.98,133,20152
pterm,00.97,133,20020
pterm,00.96,133,20048
pterm,00.95,132,20280
pterm,00.99,132,19900
pterm,00.97,133,20016
pterm,00.98,133,19860
pterm,01.00,132,20140
pterm,00.99,133,19864
