n,terminal,wtime,count,index,ru_idrss,ru_inblock,ru_isrss,ru_ixrss,ru_majflt,ru_maxrss,ru_minflt,ru_msgrcv,ru_msgsnd,ru_nivcsw,ru_nsignals,ru_nswap,ru_nvcsw,ru_oublock,ru_stime,ru_utime
0,konsole,0.83132,<built-in method count of resource.struct_rusage object at 0x7f332a0a11a8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a11a8>,0,0,0,0,0,68136,12955,0,0,362,0,0,2041,224,0.266426,0.8006059999999999
1,konsole,0.88126,<built-in method count of resource.struct_rusage object at 0x7f332a0a1258>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1258>,0,0,0,0,0,68480,12965,0,0,206,0,0,2053,160,0.275822,0.848584
2,konsole,0.878609,<built-in method count of resource.struct_rusage object at 0x7f332a0a10f8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a10f8>,0,0,0,0,0,69208,12984,0,0,58,0,0,1995,192,0.271467,0.831055
3,konsole,0.872354,<built-in method count of resource.struct_rusage object at 0x7f332a0a11a8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a11a8>,0,0,0,0,0,68808,12967,0,0,618,0,0,2001,168,0.265457,0.8325629999999999
4,konsole,0.842043,<built-in method count of resource.struct_rusage object at 0x7f332a0a1258>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1258>,0,0,0,0,0,68444,12949,0,0,158,0,0,1993,192,0.267832,0.8229949999999999
5,konsole,0.896859,<built-in method count of resource.struct_rusage object at 0x7f332a0a10f8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a10f8>,0,0,0,0,0,68708,12964,0,0,438,0,0,2049,160,0.29909399999999997,0.835747
6,konsole,0.884163,<built-in method count of resource.struct_rusage object at 0x7f332a0a11a8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a11a8>,0,0,0,0,0,68400,12977,0,0,1014,0,0,1949,192,0.269105,0.8666189999999999
7,konsole,0.884852,<built-in method count of resource.struct_rusage object at 0x7f332a0a1258>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1258>,0,0,0,0,0,68000,12948,0,0,351,0,0,1996,160,0.282918,0.819743
8,konsole,0.862523,<built-in method count of resource.struct_rusage object at 0x7f332a0a10f8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a10f8>,0,0,0,0,0,68628,12962,0,0,778,0,0,1985,160,0.276816,0.8181149999999999
9,konsole,0.871624,<built-in method count of resource.struct_rusage object at 0x7f332a0a11a8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a11a8>,0,0,0,0,0,69260,12993,0,0,205,0,0,2017,168,0.266883,0.839953
10,konsole,0.983892,<built-in method count of resource.struct_rusage object at 0x7f332a0a1308>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1308>,0,0,0,0,0,68784,12988,0,0,432,0,0,2019,384,0.285649,0.865185
11,konsole,0.808228,<built-in method count of resource.struct_rusage object at 0x7f332a0a10f8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a10f8>,0,0,0,0,0,68976,12997,0,0,171,0,0,1976,192,0.254938,0.783528
12,konsole,0.81887,<built-in method count of resource.struct_rusage object at 0x7f332a0a11a8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a11a8>,0,0,0,0,0,68032,12960,0,0,621,0,0,2020,160,0.25779599999999997,0.7874099999999999
13,konsole,0.876569,<built-in method count of resource.struct_rusage object at 0x7f332a0a1308>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1308>,0,0,0,0,0,68556,12950,0,0,108,0,0,2005,160,0.260693,0.838617
14,konsole,0.891181,<built-in method count of resource.struct_rusage object at 0x7f332a0a10f8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a10f8>,0,0,0,0,0,68624,12992,0,0,154,0,0,2007,192,0.288502,0.866568
15,konsole,0.867683,<built-in method count of resource.struct_rusage object at 0x7f332a0a11a8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a11a8>,0,0,0,0,0,68624,12966,0,0,105,0,0,2001,224,0.266181,0.823877
16,konsole,0.804681,<built-in method count of resource.struct_rusage object at 0x7f332a0a1308>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1308>,0,0,0,0,0,68972,12987,0,0,150,0,0,2005,160,0.245584,0.772783
17,konsole,0.875715,<built-in method count of resource.struct_rusage object at 0x7f332a0a10f8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a10f8>,0,0,0,0,0,68712,12959,0,0,148,0,0,2001,160,0.26494,0.8399099999999999
18,konsole,0.842351,<built-in method count of resource.struct_rusage object at 0x7f332a0a11a8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a11a8>,0,0,0,0,0,68412,12944,0,0,1128,0,0,2001,160,0.270875,0.7976059999999999
19,konsole,0.848762,<built-in method count of resource.struct_rusage object at 0x7f332a0a1308>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1308>,0,0,0,0,0,68360,12966,0,0,1032,0,0,1997,168,0.265636,0.8305089999999999
20,konsole,0.859085,<built-in method count of resource.struct_rusage object at 0x7f332a0a10f8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a10f8>,0,0,0,0,0,68856,12964,0,0,481,0,0,2003,160,0.258466,0.8303929999999999
21,konsole,0.860007,<built-in method count of resource.struct_rusage object at 0x7f332a0a11a8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a11a8>,0,0,0,0,0,68676,12983,0,0,348,0,0,2009,160,0.259459,0.831607
22,konsole,0.872566,<built-in method count of resource.struct_rusage object at 0x7f332a0a1308>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1308>,0,0,0,0,0,68932,12971,0,0,121,0,0,1975,160,0.26406799999999997,0.8285469999999999
23,konsole,0.842753,<built-in method count of resource.struct_rusage object at 0x7f332a0a10f8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a10f8>,0,0,0,0,0,68308,12947,0,0,85,0,0,1996,288,0.261503,0.819994
24,konsole,0.808494,<built-in method count of resource.struct_rusage object at 0x7f332a0a1258>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1258>,0,0,0,0,0,68044,12939,0,0,354,0,0,2028,256,0.256031,0.776254
25,konsole,0.889566,<built-in method count of resource.struct_rusage object at 0x7f332a0a1308>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1308>,0,0,0,0,0,68412,12967,0,0,90,0,0,2035,296,0.29564999999999997,0.810303
26,konsole,0.87347,<built-in method count of resource.struct_rusage object at 0x7f332a0a11a8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a11a8>,0,0,0,0,0,68496,12972,0,0,619,0,0,1978,256,0.278203,0.826757
27,konsole,0.825587,<built-in method count of resource.struct_rusage object at 0x7f332a0a1258>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1258>,0,0,0,0,0,68760,12959,0,0,66,0,0,2006,256,0.273617,0.773184
28,konsole,0.869381,<built-in method count of resource.struct_rusage object at 0x7f332a0a1308>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1308>,0,0,0,0,0,68776,12971,0,0,102,0,0,1982,256,0.244547,0.855764
29,konsole,0.858009,<built-in method count of resource.struct_rusage object at 0x7f332a0a11a8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a11a8>,0,0,0,0,0,69256,12981,0,0,127,0,0,1975,256,0.292938,0.7900039999999999
30,konsole,0.838989,<built-in method count of resource.struct_rusage object at 0x7f332a0a1258>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1258>,0,0,0,0,0,68424,12953,0,0,96,0,0,2006,256,0.25706999999999997,0.817279
31,konsole,0.855712,<built-in method count of resource.struct_rusage object at 0x7f332a0a10f8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a10f8>,0,0,0,0,0,69164,12990,0,0,1134,0,0,2067,256,0.26936099999999996,0.822604
32,konsole,0.89949,<built-in method count of resource.struct_rusage object at 0x7f332a0a1308>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1308>,0,0,0,0,0,68636,12947,0,0,615,0,0,2057,256,0.298439,0.844182
33,konsole,0.845735,<built-in method count of resource.struct_rusage object at 0x7f332a0a11a8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a11a8>,0,0,0,0,0,68912,12968,0,0,868,0,0,2019,256,0.253202,0.8351299999999999
34,konsole,0.85836,<built-in method count of resource.struct_rusage object at 0x7f332a0a10f8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a10f8>,0,0,0,0,0,68508,12954,0,0,243,0,0,1987,256,0.285385,0.800844
35,konsole,0.892134,<built-in method count of resource.struct_rusage object at 0x7f332a0a1308>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1308>,0,0,0,0,0,69300,12982,0,0,76,0,0,2001,264,0.276258,0.8421379999999999
36,konsole,0.807605,<built-in method count of resource.struct_rusage object at 0x7f332a0a1258>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1258>,0,0,0,0,0,68464,12965,0,0,1442,0,0,1980,320,0.272382,0.758579
37,konsole,0.850592,<built-in method count of resource.struct_rusage object at 0x7f332a0a10f8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a10f8>,0,0,0,0,0,68140,12958,0,0,137,0,0,2044,224,0.27166599999999996,0.800798
38,konsole,0.876884,<built-in method count of resource.struct_rusage object at 0x7f332a0a1308>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1308>,0,0,0,0,0,68712,12971,0,0,2423,0,0,1990,192,0.263471,0.858571
39,konsole,0.861766,<built-in method count of resource.struct_rusage object at 0x7f332a0a1258>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1258>,0,0,0,0,0,68924,12965,0,0,64,0,0,2024,160,0.281367,0.83393
40,konsole,0.864242,<built-in method count of resource.struct_rusage object at 0x7f332a0a10f8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a10f8>,0,0,0,0,0,69036,12986,0,0,488,0,0,2032,160,0.267515,0.846158
41,konsole,0.887818,<built-in method count of resource.struct_rusage object at 0x7f332a0a1308>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1308>,0,0,0,0,0,68404,12969,0,0,2298,0,0,1955,168,0.259589,0.861748
42,konsole,0.859167,<built-in method count of resource.struct_rusage object at 0x7f332a0a1258>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1258>,0,0,0,0,0,68260,12950,0,0,70,0,0,1977,160,0.266407,0.826971
43,konsole,0.872471,<built-in method count of resource.struct_rusage object at 0x7f332a0a10f8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a10f8>,0,0,0,0,0,68532,12940,0,0,1786,0,0,1952,192,0.274257,0.826662
44,konsole,0.857217,<built-in method count of resource.struct_rusage object at 0x7f332a0a1308>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1308>,0,0,0,0,0,68664,12962,0,0,88,0,0,1977,160,0.24595099999999998,0.8455769999999999
45,konsole,0.860399,<built-in method count of resource.struct_rusage object at 0x7f332a0a1258>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1258>,0,0,0,0,0,68768,12979,0,0,150,0,0,2027,160,0.263663,0.82061
46,konsole,0.879333,<built-in method count of resource.struct_rusage object at 0x7f332a0a10f8>,<built-in method index of resource.struct_rusage object at 0x7f332a0a10f8>,0,0,0,0,0,68788,12963,0,0,557,0,0,2038,160,0.28187799999999996,0.85463
47,konsole,0.893295,<built-in method count of resource.struct_rusage object at 0x7f332a0a1308>,<built-in method index of resource.struct_rusage object at 0x7f332a0a1308>,0,0,0,0,0,69140,12964,0,0,294,0,0,2013,160,0.283732,0.8458169999999999
