terminal,time,cpu,memory
konsole,00.80,132,68612
konsole,00.81,131,68788
konsole,00.85,129,68616
konsole,00.84,128,68720
konsole,00.81,129,69192
konsole,00.80,128,68724
konsole,00.90,122,68592
konsole,00.95,112,68704
konsole,00.84,125,69228
konsole,00.84,126,68320
konsole,00.80,127,68984
konsole,00.83,126,68012
konsole,00.86,128,68232
konsole,00.82,130,68580
konsole,00.85,127,68404
konsole,00.90,126,68540
konsole,00.85,126,68956
konsole,00.81,127,68284
konsole,00.82,129,68760
konsole,00.85,127,68924
konsole,00.79,131,68700
konsole,00.85,123,68196
konsole,00.84,128,68556
konsole,00.84,127,68804
konsole,00.78,129,68844
konsole,00.87,129,68328
konsole,00.84,127,69172
konsole,00.82,128,68800
konsole,00.83,127,68156
konsole,00.78,128,68376
konsole,00.81,128,68528
konsole,00.82,129,69140
konsole,00.85,124,68592
konsole,00.86,123,69372
konsole,00.86,126,68912
konsole,00.85,128,68568
konsole,00.79,132,68920
konsole,00.86,127,68408
konsole,00.88,127,68280
konsole,00.87,124,68260
konsole,00.89,127,68184
konsole,00.83,126,68748
konsole,00.78,131,68396
konsole,00.77,130,68324
konsole,00.96,101,68924
konsole,00.90,121,68564
konsole,00.78,130,69216
konsole,00.80,129,68732
konsole,00.84,131,68536
konsole,00.85,128,68644
konsole,00.82,127,68556
konsole,00.82,128,68696
konsole,00.83,128,68992
konsole,00.82,126,68696
konsole,00.80,128,68724
konsole,00.79,128,68336
konsole,00.84,128,68644
konsole,00.84,127,68456
konsole,00.87,127,68408
konsole,00.86,126,68688
konsole,00.85,127,69340
konsole,00.84,127,69192
konsole,00.78,129,68556
konsole,00.79,129,68324
konsole,00.85,126,68604
konsole,00.83,126,68932
konsole,00.82,132,68224
konsole,00.85,124,68880
konsole,00.85,131,68676
konsole,00.82,130,68500
konsole,00.81,131,69320
konsole,00.86,127,68616
konsole,00.85,128,68740
konsole,00.85,128,68900
konsole,00.85,127,68520
konsole,00.85,129,68532
konsole,00.77,130,68448
konsole,00.83,127,68800
konsole,00.85,128,68636
konsole,00.85,126,69172
konsole,00.83,130,68296
konsole,00.85,127,68756
konsole,00.84,128,68664
konsole,00.86,126,68488
konsole,00.78,129,68104
konsole,00.87,126,68732
konsole,00.85,126,68960
konsole,00.86,127,69032
konsole,00.79,128,68640
konsole,00.86,128,69112
konsole,00.82,129,68264
konsole,00.81,131,68592
konsole,00.81,130,68532
konsole,00.79,128,67936
konsole,00.84,125,68772
konsole,00.88,125,68384
konsole,00.86,129,68816
konsole,00.82,125,68260
konsole,00.86,128,68908
konsole,00.82,127,68288
pterm,00.95,133,19880
pterm,00.95,133,19684
pterm,00.94,133,20224
pterm,00.92,134,20232
pterm,00.94,133,19952
pterm,00.95,132,20096
pterm,00.92,134,20228
pterm,00.94,133,19856
pterm,00.92,134,19828
pterm,00.93,133,20204
pterm,00.93,134,20212
pterm,00.91,134,19860
pterm,00.95,133,19656
pterm,00.96,133,20084
pterm,00.93,134,20000
pterm,00.94,134,19900
pterm,00.93,133,20184
pterm,00.91,134,20272
pterm,00.94,134,19684
pterm,00.94,134,20096
pterm,00.90,134,20084
pterm,00.94,133,20008
pterm,00.93,134,20256
pterm,00.95,134,20020
pterm,00.92,134,19776
pterm,00.93,133,19904
pterm,00.93,134,19988
pterm,00.92,134,19692
pterm,00.91,134,20088
pterm,00.94,133,20052
pterm,00.93,133,19984
pterm,00.91,134,19988
pterm,00.93,134,20216
pterm,00.94,134,19684
pterm,00.92,134,19680
pterm,00.97,133,20080
pterm,00.93,133,20236
pterm,00.91,134,20000
pterm,00.93,134,19688
pterm,00.91,134,19676
pterm,00.95,133,19824
pterm,00.91,134,19692
pterm,00.94,133,19860
pterm,00.94,134,19828
pterm,00.93,134,19824
pterm,00.95,134,19816
pterm,00.93,133,19704
pterm,00.91,134,20012
pterm,00.93,133,20224
pterm,00.93,133,20188
pterm,00.93,133,20080
pterm,00.91,133,19996
pterm,00.94,134,20272
pterm,00.95,133,20008
pterm,00.92,135,20220
pterm,00.95,134,19656
pterm,00.93,134,19868
pterm,00.94,133,20052
pterm,00.93,134,20028
pterm,00.94,133,20176
pterm,00.93,134,20236
pterm,00.92,133,19880
pterm,00.93,134,20224
pterm,00.92,133,19888
pterm,00.93,133,19836
pterm,00.94,134,20216
pterm,00.93,134,19824
pterm,00.94,134,20052
pterm,00.94,133,20320
pterm,00.94,134,20232
pterm,00.91,134,20192
pterm,00.96,133,20284
pterm,00.92,134,19668
pterm,00.94,134,20024
pterm,00.92,133,19864
pterm,00.93,134,20008
pterm,00.95,133,19668
pterm,00.94,133,20040
pterm,00.94,134,19876
pterm,00.91,134,20204
pterm,00.93,133,20028
pterm,00.96,133,20224
pterm,00.93,133,20020
pterm,00.93,133,20260
pterm,00.95,133,19820
pterm,00.95,133,19688
pterm,00.95,133,20016
pterm,00.94,133,20032
pterm,00.93,134,20236
pterm,00.94,133,19696
pterm,00.92,134,19704
pterm,00.93,133,20044
pterm,00.90,134,19696
pterm,00.92,134,20044
pterm,00.94,133,20008
pterm,00.92,134,20220
pterm,00.94,134,20076
pterm,00.92,134,20264
pterm,00.94,134,19688
pterm,00.95,134,20092
terminator,01.14,118,56864
terminator,01.12,119,56448
terminator,01.13,118,56392
terminator,01.14,121,56600
terminator,01.12,119,56812
terminator,01.12,119,56504
terminator,01.12,119,56308
terminator,01.13,118,56660
terminator,01.13,119,57016
terminator,01.11,120,56680
terminator,01.13,119,56464
terminator,01.13,119,56328
terminator,01.13,118,56732
terminator,01.12,119,56508
terminator,01.13,118,56440
terminator,01.14,120,56508
terminator,01.14,119,56544
terminator,01.13,118,56756
terminator,01.12,119,56252
terminator,01.12,119,56812
terminator,01.13,118,56864
terminator,01.12,118,56804
terminator,01.12,118,56928
terminator,01.14,118,56840
terminator,01.12,119,56540
terminator,01.13,118,56948
terminator,01.11,120,56584
terminator,01.13,119,56736
terminator,01.13,119,56888
terminator,01.13,118,56760
terminator,01.13,119,56280
terminator,01.13,119,56504
terminator,01.13,119,56524
terminator,01.12,119,56748
terminator,01.12,119,56472
terminator,01.13,118,56940
terminator,01.12,120,56292
terminator,01.12,119,56508
terminator,01.12,119,56548
terminator,01.14,118,56592
terminator,01.14,118,56296
terminator,01.13,118,56432
terminator,01.14,120,56276
terminator,01.14,118,56304
terminator,01.12,119,56948
terminator,01.12,119,56712
terminator,01.13,119,56308
terminator,01.14,118,56652
terminator,01.12,118,56324
terminator,01.12,119,56600
terminator,01.13,120,56296
terminator,01.14,118,56584
terminator,01.13,118,57060
terminator,01.12,119,56940
terminator,01.12,120,56636
terminator,01.13,119,56768
terminator,01.13,118,57016
terminator,01.13,119,56692
terminator,01.13,118,56792
terminator,01.14,118,56968
terminator,01.12,119,57040
terminator,01.12,119,56228
terminator,01.13,119,56844
terminator,01.13,119,57024
terminator,01.12,119,56648
terminator,01.13,118,56428
terminator,01.14,118,56252
terminator,01.13,119,56744
terminator,01.13,118,56772
terminator,01.12,119,56260
terminator,01.13,120,56728
terminator,01.12,120,56940
terminator,01.12,118,57140
terminator,01.13,119,56456
terminator,01.12,120,56704
terminator,01.13,119,56384
terminator,01.14,118,56752
terminator,01.13,119,56692
terminator,01.13,120,56420
terminator,01.13,119,56920
terminator,01.12,118,56600
terminator,01.13,119,56252
terminator,01.14,118,56428
terminator,01.13,119,56736
terminator,01.12,119,56400
terminator,01.12,119,56364
terminator,01.12,119,56820
terminator,01.13,119,56364
terminator,01.12,119,56096
terminator,01.13,120,57040
terminator,01.12,120,56676
terminator,01.13,119,56916
terminator,01.13,120,56308
terminator,01.13,118,56880
terminator,01.12,119,56380
terminator,01.12,120,56880
terminator,01.13,120,56840
terminator,01.12,119,56340
terminator,01.12,118,56936
terminator,01.13,119,57024
uxterm,01.28,123,12172
uxterm,01.28,121,12076
uxterm,01.26,124,12112
uxterm,01.30,121,12116
uxterm,01.26,123,12116
uxterm,01.28,121,12040
uxterm,01.27,123,12352
uxterm,01.29,120,12132
uxterm,01.28,122,12360
uxterm,01.29,121,12092
uxterm,01.31,122,12196
uxterm,01.27,123,12376
uxterm,01.26,123,12064
uxterm,01.28,120,12040
uxterm,01.27,123,12152
uxterm,01.31,120,12364
uxterm,01.26,121,12068
uxterm,01.31,121,12168
uxterm,01.28,122,12152
uxterm,01.28,121,12128
uxterm,01.26,122,12180
uxterm,01.30,122,12120
uxterm,01.25,124,12064
uxterm,01.29,121,12084
uxterm,01.24,124,12132
uxterm,01.33,118,12140
uxterm,01.28,122,12028
uxterm,01.25,123,12220
uxterm,01.24,124,12172
uxterm,01.29,121,12028
uxterm,01.28,121,12044
uxterm,01.25,125,12080
uxterm,01.25,124,12120
uxterm,01.28,123,12164
uxterm,01.30,121,12152
uxterm,01.28,122,12120
uxterm,01.28,122,12220
uxterm,01.27,122,12076
uxterm,01.33,120,12336
uxterm,01.28,121,12144
uxterm,01.29,122,12076
uxterm,01.32,122,12152
uxterm,01.27,122,12108
uxterm,01.28,122,12360
uxterm,01.27,122,12040
uxterm,01.29,123,12372
uxterm,01.27,121,12088
uxterm,01.28,122,12132
uxterm,01.30,120,12108
uxterm,01.27,123,12160
uxterm,01.29,120,12148
uxterm,01.27,122,12164
uxterm,01.29,120,12224
uxterm,01.27,122,12164
uxterm,01.27,121,12104
uxterm,01.30,120,12156
uxterm,01.30,121,12196
uxterm,01.33,119,12044
uxterm,01.28,123,12060
uxterm,01.27,123,12108
uxterm,01.27,121,12124
uxterm,01.29,121,12372
uxterm,01.26,123,12096
uxterm,01.26,123,12072
uxterm,01.28,122,12116
uxterm,01.28,121,12092
uxterm,01.25,123,12112
uxterm,01.25,125,12184
uxterm,01.27,122,12116
uxterm,01.29,122,12056
uxterm,01.26,122,12172
uxterm,01.28,122,12136
uxterm,01.29,121,12068
uxterm,01.29,121,12060
uxterm,01.28,122,12156
uxterm,01.28,124,12152
uxterm,01.27,122,12048
uxterm,01.29,121,12388
uxterm,01.31,119,12220
uxterm,01.27,121,12060
uxterm,01.29,122,12128
uxterm,01.28,120,12136
uxterm,01.29,121,12092
uxterm,01.26,124,12112
uxterm,01.29,122,12196
uxterm,01.29,120,12180
uxterm,01.31,120,12056
uxterm,01.30,121,12064
uxterm,01.24,124,12068
uxterm,01.28,122,12064
uxterm,01.26,122,12376
uxterm,01.30,121,12176
uxterm,01.26,122,12152
uxterm,01.30,122,12096
uxterm,01.28,120,12024
uxterm,01.30,121,12068
uxterm,01.30,120,12072
uxterm,01.30,121,12092
uxterm,01.27,122,12068
uxterm,01.30,120,12144
xfce4-terminal,00.94,122,40580
xfce4-terminal,00.93,123,40624
xfce4-terminal,00.93,123,40684
xfce4-terminal,00.93,122,40296
xfce4-terminal,00.93,122,40240
xfce4-terminal,00.93,123,40224
xfce4-terminal,00.94,121,40260
xfce4-terminal,00.94,123,39768
xfce4-terminal,00.93,123,40152
xfce4-terminal,00.94,122,39728
xfce4-terminal,00.93,123,40516
xfce4-terminal,00.92,122,40248
xfce4-terminal,00.93,122,40612
xfce4-terminal,00.94,122,40412
xfce4-terminal,00.93,123,40288
xfce4-terminal,00.93,123,40272
xfce4-terminal,00.94,122,40492
xfce4-terminal,00.94,123,40208
xfce4-terminal,00.93,123,40584
xfce4-terminal,00.92,122,40460
xfce4-terminal,00.93,123,40048
xfce4-terminal,00.93,122,40404
xfce4-terminal,00.94,121,40464
xfce4-terminal,00.94,123,40368
xfce4-terminal,00.93,121,40412
xfce4-terminal,00.93,122,39864
xfce4-terminal,00.94,123,40152
xfce4-terminal,00.94,122,40648
xfce4-terminal,00.94,122,40440
xfce4-terminal,00.93,123,40692
xfce4-terminal,00.93,123,39892
xfce4-terminal,00.94,122,40656
xfce4-terminal,00.94,122,40176
xfce4-terminal,00.93,122,40240
xfce4-terminal,00.94,123,40308
xfce4-terminal,00.93,123,40356
xfce4-terminal,00.93,122,40604
xfce4-terminal,00.94,122,40476
xfce4-terminal,00.93,123,40024
xfce4-terminal,00.93,124,40228
xfce4-terminal,00.93,122,40360
xfce4-terminal,00.93,122,40628
xfce4-terminal,00.94,123,40296
xfce4-terminal,00.93,123,40440
xfce4-terminal,00.93,123,40356
xfce4-terminal,00.92,122,40772
xfce4-terminal,00.94,124,40352
xfce4-terminal,00.92,123,40484
xfce4-terminal,00.94,123,40360
xfce4-terminal,00.94,122,40716
xfce4-terminal,00.92,123,40592
xfce4-terminal,00.92,124,40256
xfce4-terminal,00.93,122,39928
xfce4-terminal,00.93,123,40492
xfce4-terminal,00.93,122,40628
xfce4-terminal,00.95,122,40408
xfce4-terminal,00.93,123,40244
xfce4-terminal,00.93,122,40252
xfce4-terminal,00.92,124,40132
xfce4-terminal,00.92,122,40220
xfce4-terminal,00.94,122,40032
xfce4-terminal,00.94,123,40460
xfce4-terminal,00.94,123,40196
xfce4-terminal,00.95,122,40652
xfce4-terminal,00.95,122,40220
xfce4-terminal,00.93,123,40264
xfce4-terminal,00.94,124,40060
xfce4-terminal,00.93,122,40228
xfce4-terminal,00.93,122,40608
xfce4-terminal,00.93,123,40516
xfce4-terminal,00.93,122,40224
xfce4-terminal,00.93,123,40056
xfce4-terminal,00.93,123,40640
xfce4-terminal,00.93,122,40668
xfce4-terminal,00.92,122,40272
xfce4-terminal,00.93,123,40200
xfce4-terminal,00.94,122,40056
xfce4-terminal,00.94,122,40412
xfce4-terminal,00.94,122,40308
xfce4-terminal,00.93,122,40432
xfce4-terminal,00.93,123,40540
xfce4-terminal,00.94,123,40456
xfce4-terminal,00.94,123,40260
xfce4-terminal,00.93,123,40616
xfce4-terminal,00.93,123,40476
xfce4-terminal,00.94,123,40336
xfce4-terminal,00.92,123,40584
xfce4-terminal,00.94,122,39812
xfce4-terminal,00.92,123,40492
xfce4-terminal,00.93,121,40636
xfce4-terminal,00.94,123,40640
xfce4-terminal,00.93,123,40532
xfce4-terminal,00.94,122,40380
xfce4-terminal,00.93,123,40580
xfce4-terminal,00.93,123,40632
xfce4-terminal,00.93,122,40504
xfce4-terminal,00.93,122,40068
xfce4-terminal,00.92,122,40492
xfce4-terminal,00.94,124,40100
xfce4-terminal,00.94,122,40472
mlterm,01.35,123,11112
mlterm,01.32,124,10884
mlterm,01.34,124,10992
mlterm,01.33,124,10880
mlterm,01.33,124,10920
mlterm,01.33,124,10876
mlterm,01.27,124,11120
mlterm,01.32,124,11228
mlterm,01.36,123,11016
mlterm,01.31,125,10968
