xterm,mlterm,kterm,mrxvt,xvt,konsole,urxvt,st,alacritty,putty,"xfce4","gnome",terminator
4.17,4.93,17.94,13.42,19.62,25.38,19.40,23.69,32.33,31.17,31.46,29.38,38.79
12.26,4.00,4.79,13.80,13.80,17.09,20.14,29.13,20.87,25.49,32.56,30.03,33.44
11.75,13.70,2.61,12.77,15.70,23.21,19.37,23.98,17.88,25.69,31.03,32.89,33.49
11.56,4.99,14.45,8.39,7.76,16.74,21.16,22.06,25.66,28.10,28.76,31.90,33.30
11.71,13.78,12.03,3.99,12.36,14.28,25.82,26.93,30.67,29.32,32.28,31.95,28.72
8.97,14.19,13.80,18.23,13.88,22.43,23.90,26.52,25.72,28.25,31.10,32.33,30.73
14.23,4.87,12.68,8.04,17.02,18.71,21.24,20.53,28.59,27.41,30.29,28.34,33.34
14.88,12.92,13.88,6.45,13.09,20.50,25.18,21.21,25.50,24.52,31.48,29.46,34.23
9.97,7.84,14.00,7.30,11.00,20.71,25.72,20.86,28.69,29.01,29.04,30.87,29.32
13.90,13.80,4.55,13.31,11.82,21.35,21.77,25.75,31.85,27.92,29.92,33.64,32.89
14.46,4.77,5.92,7.38,12.59,20.49,25.14,22.83,25.58,28.01,31.13,32.20,30.91
8.29,5.78,5.98,18.72,15.15,20.66,22.74,23.88,27.57,26.14,31.03,31.54,33.64
11.84,13.97,12.84,16.72,11.09,19.90,24.10,23.92,31.02,30.15,32.43,32.21,33.71
5.47,13.14,13.57,9.69,7.68,23.75,25.13,22.82,26.06,29.34,33.45,33.68,30.81
4.69,13.24,13.31,5.77,12.07,21.66,26.41,25.54,30.81,24.97,30.65,34.06,32.27
9.80,13.40,14.60,14.28,10.69,19.89,25.41,26.86,21.89,27.90,29.89,32.28,29.55
4.39,3.92,5.33,7.21,17.89,19.67,25.66,23.61,11.90,27.86,28.78,34.22,31.10
13.70,5.21,7.41,13.54,13.26,15.98,22.87,23.98,27.07,23.64,29.98,33.09,31.24
5.99,13.03,14.17,18.93,10.03,25.68,23.43,25.72,25.51,29.59,32.46,33.24,29.78
