alacritty,"gnome-terminal",konsole,mlterm,pterm,st,terminator,urxvt,"xfce4-terminal",uxterm,"urxvt-xft-monospace","urxvt-fixed-16","urxvt-fixed-16-float"
22.54,26.90,13.02,1.04,22.25,19.14,28.04,17.29,27.47,0.94,18.69,18.67,18.26
26.29,27.56,12.61,1.35,23.41,18.97,29.14,18.67,27.12,1.92,18.66,18.31,18.18
14.85,27.03,13.46,1.82,24.39,19.44,26.44,18.63,26.61,1.54,18.22,18.75,18.46
15.73,27.04,11.57,1.87,23.21,19.23,28.74,18.23,27.69,2.00,18.14,17.94,17.93
15.19,27.08,13.83,1.13,23.91,11.27,27.86,18.26,27.62,2.25,18.84,17.90,18.43
14.47,26.77,15.03,1.74,22.71,19.26,28.79,17.90,26.82,0.66,18.80,17.61,18.21
16.18,26.83,12.60,2.02,22.37,18.84,28.46,18.11,27.88,1.11,18.47,18.53,17.76
12.84,27.60,13.01,1.85,23.42,19.35,28.60,18.29,27.07,1.94,18.76,18.21,18.15
15.95,27.38,12.08,1.71,23.92,19.13,27.68,18.31,27.27,1.44,18.41,17.80,18.49
15.71,27.27,14.93,2.18,22.30,11.45,28.86,17.81,26.67,1.84,18.41,18.56,17.74
15.12,27.06,15.32,1.95,23.02,18.69,28.87,18.28,27.71,1.73,18.90,18.33,18.28
14.17,27.04,14.78,1.63,23.25,19.34,27.56,18.03,27.61,1.49,17.90,18.35,18.42
15.60,27.18,11.89,1.85,24.13,19.35,26.93,18.22,27.13,1.50,18.47,18.32,18.98
14.17,27.03,13.74,1.89,23.34,19.39,28.60,18.49,27.40,1.98,18.51,17.98,17.69
14.02,26.95,12.14,2.04,22.20,18.67,28.40,18.26,27.43,1.80,18.29,18.72,18.09
16.06,27.28,15.16,2.18,24.91,18.81,28.86,18.41,27.92,1.65,18.35,17.68,17.72
14.24,27.03,11.52,2.07,24.75,19.32,27.84,18.33,27.04,1.72,19.13,18.41,18.46
15.07,26.60,15.06,1.67,22.50,19.28,27.74,17.85,28.09,1.99,18.33,18.72,17.85
14.21,26.89,14.82,2.26,23.53,11.11,28.69,18.41,27.73,0.77,18.39,18.33,18.68
14.71,27.30,13.33,1.85,22.70,10.60,27.30,18.33,27.23,1.88,18.12,17.71,18.05
14.38,26.21,11.91,1.90,24.03,19.31,28.82,18.72,27.70,1.95,18.37,18.31,17.80
14.79,26.97,13.05,1.88,23.94,18.86,29.23,18.39,27.88,1.64,18.29,17.78,18.44
13.79,27.59,16.06,1.83,23.21,19.37,29.40,18.14,26.96,1.75,18.97,18.46,18.41
15.89,26.73,12.14,1.52,23.20,19.57,28.76,18.68,27.94,1.53,18.74,18.64,17.92
14.69,27.18,14.55,1.77,22.52,18.96,28.35,18.67,27.62,1.52,18.00,18.68,17.74
14.88,27.59,12.70,2.20,23.84,18.50,27.46,17.76,27.64,1.67,18.96,18.31,18.35
14.85,26.70,12.23,2.15,23.56,19.37,27.61,18.80,27.00,1.55,18.49,18.18,18.79
14.79,26.81,13.24,1.78,24.78,19.15,28.62,18.25,27.92,1.94,18.34,17.81,18.10
15.21,27.12,13.51,1.92,24.03,19.53,28.48,18.43,27.55,1.87,18.02,18.70,17.96
13.50,26.60,14.44,1.86,22.91,19.57,27.62,18.31,27.20,1.75,18.07,18.73,18.14
