alacritty,"gnome-terminal",konsole,mlterm,pterm,st,terminator,urxvt,"xfce4-terminal",uxterm
31.25,32.18,31.76,15.16,32.26,48.37,47.91,32.02,49.21,20.95
32.48,48.92,32.02,32.12,48.19,31.75,48.73,48.12,48.30,27.63
31.54,49.15,31.65,15.81,48.61,32.68,48.90,48.89,48.90,30.72
31.36,48.96,31.69,31.59,48.65,32.65,48.50,48.42,49.12,31.27
31.46,48.18,32.39,32.52,49.40,32.21,48.54,48.77,49.14,31.84
31.62,48.29,32.43,32.08,48.44,31.21,48.45,48.55,48.88,31.61
31.67,47.62,32.24,15.80,48.14,31.88,48.78,48.78,48.60,31.54
31.72,49.11,31.90,32.32,48.62,32.18,49.08,49.29,48.91,29.86
31.44,47.92,31.48,31.88,48.16,31.62,48.14,48.35,48.17,31.51
31.36,48.19,32.06,32.13,48.02,31.35,48.90,48.99,48.14,30.95
32.05,49.26,32.38,31.37,48.62,31.59,48.61,48.16,49.03,32.35
31.56,47.81,32.36,16.08,48.24,31.65,49.18,49.20,48.89,29.40
31.95,48.98,30.69,31.90,49.76,31.39,48.34,49.01,49.16,31.06
31.43,48.61,32.33,32.15,48.55,32.16,49.33,48.09,48.07,31.73
32.32,48.53,31.54,31.79,48.99,32.67,48.34,49.08,48.14,30.82
32.97,48.82,31.64,31.36,48.90,32.06,48.27,48.51,49.11,31.17
32.18,48.16,32.05,31.97,48.34,32.36,48.91,48.45,48.17,31.34
31.86,49.02,31.45,31.69,48.04,31.77,48.53,49.02,48.89,31.50
31.55,48.59,31.72,32.05,48.38,32.04,48.61,49.22,48.67,32.10
31.21,49.10,31.36,31.53,49.21,33.05,48.18,49.24,48.35,32.01
30.86,48.16,31.85,31.53,49.17,32.41,48.28,48.49,48.98,31.12
30.98,48.49,31.10,32.20,48.58,31.97,48.41,48.13,48.81,15.40
31.39,49.02,31.90,31.93,48.26,32.08,48.21,47.96,48.79,31.45
32.00,48.24,31.69,31.50,48.20,31.41,49.06,48.99,49.10,31.52
32.15,49.05,32.05,30.37,47.96,32.13,48.24,48.21,48.51,31.33
31.62,48.76,31.70,31.43,48.87,31.80,48.03,48.49,48.50,31.45
32.49,48.10,31.96,32.36,48.96,31.64,48.56,48.72,48.58,31.51
31.26,48.10,32.07,31.95,48.03,31.84,48.18,49.05,49.06,31.89
31.44,48.08,161.71,31.68,48.28,31.95,48.21,48.27,48.88,28.00
31.89,48.02,35.07,32.38,48.35,49.08,48.06,48.87,48.96,32.00
32.24,48.20,31.43,31.87,49.23,30.66,48.34,48.37,48.40,31.59
31.18,48.57,31.71,16.19,47.90,31.55,48.86,49.21,48.82,31.91
