"gnome-terminal",konsole,mlterm,pterm,st,terminator,urxvt,"xfce4-terminal",uxterm,terminology
38.45,26.88,29.39,29.90,29.40,36.49,31.66,36.65,20.65,29.83
53.88,36.23,11.05,44.93,33.50,40.62,44.24,39.01,22.35,44.32
42.27,30.44,12.63,33.15,42.19,45.00,45.54,43.22,32.00,30.28
45.11,29.68,29.44,43.62,31.50,47.21,44.98,46.73,30.67,31.19
44.45,28.45,13.57,32.27,27.24,44.94,45.70,47.07,27.61,45.16
44.88,30.68,24.11,43.99,33.56,47.56,46.58,46.34,30.79,43.43
46.97,29.94,14.93,46.04,26.69,46.49,46.83,46.60,23.90,32.51
45.42,37.41,15.15,32.43,27.81,45.31,31.37,46.33,35.59,44.36
46.16,21.95,12.73,43.25,32.89,47.71,45.26,46.56,29.56,46.03
44.35,30.89,28.34,46.94,25.00,45.95,46.90,45.65,30.51,45.58
45.84,27.37,29.33,46.65,33.32,47.40,46.22,45.63,28.62,45.90
46.83,29.81,12.40,46.59,32.03,45.24,46.51,47.90,28.72,32.69
46.73,29.74,13.02,46.73,29.92,46.72,47.08,46.86,30.41,42.44
44.58,30.61,12.81,46.22,41.62,45.70,46.76,45.96,29.45,33.62
47.26,30.42,11.84,46.96,27.52,47.20,45.11,47.07,27.94,42.79
46.87,28.37,15.13,46.20,34.23,45.14,34.37,46.05,32.95,31.95
47.18,30.92,12.67,33.78,27.52,46.92,43.69,45.49,24.08,45.61
44.22,29.96,12.97,42.49,32.35,47.30,44.33,47.52,35.22,45.79
46.52,28.75,12.61,33.89,29.54,45.93,31.91,46.36,28.06,46.74
45.12,30.87,13.20,42.84,29.75,46.14,45.05,47.03,30.17,46.44
47.91,28.17,9.04,32.87,28.73,45.92,32.39,46.99,27.45,47.35
44.44,30.36,15.06,44.36,28.55,46.18,44.99,46.45,29.23,45.59
46.31,30.26,14.59,45.21,28.05,47.25,45.92,45.74,26.50,45.82
46.98,29.06,27.63,33.06,32.29,46.84,46.81,46.89,28.79,46.05
45.89,30.48,29.24,44.10,27.95,46.22,30.84,47.39,18.42,46.64
46.44,29.11,13.27,33.42,31.60,47.25,49.57,45.10,29.05,48.43
46.60,30.90,12.66,43.49,28.08,46.22,43.94,47.37,29.97,43.48
46.34,30.66,12.19,47.09,27.97,46.01,45.51,47.02,30.93,46.14
45.02,28.14,14.92,46.01,32.89,45.41,45.27,46.46,27.62,47.19
46.59,29.66,12.72,46.36,31.67,47.14,47.26,46.95,26.11,46.52
44.68,31.86,12.74,46.17,28.40,46.17,45.98,46.36,35.40,46.67
47.75,28.82,12.41,45.86,26.72,46.83,47.02,46.73,28.29,43.96
45.41,28.41,15.10,33.30,31.28,46.08,45.17,45.78,29.24,47.72
45.37,30.40,10.82,44.03,31.27,46.93,46.95,47.62,29.34,46.36
45.69,30.76,15.51,44.94,28.60,46.09,45.60,44.26,31.32,47.93
46.40,28.87,12.80,32.61,30.96,45.79,47.41,46.54,25.17,45.31
46.16,27.92,8.67,43.92,29.14,48.45,44.74,46.57,34.32,46.58
47.07,30.77,17.46,45.19,31.48,45.64,46.03,46.77,28.43,46.98
46.41,29.45,28.33,46.87,28.30,47.19,46.62,48.64,30.17,46.65
46.84,30.27,27.97,45.58,28.70,46.05,46.56,47.22,30.02,46.51
46.40,28.81,13.91,46.03,31.34,46.47,48.83,42.31,30.19,47.06
46.46,30.60,12.74,33.20,25.00,47.18,46.13,45.69,28.65,45.19
46.10,27.98,12.71,43.59,33.11,46.90,45.43,46.96,30.95,48.25
