terminal,time,cpu,memory
uxterm,00.25,95,30816
uxterm,00.24,98,30972
uxterm,00.26,97,31056
uxterm,00.26,98,30844
uxterm,00.26,96,30872
uxterm,00.24,99,31080
uxterm,00.25,99,30964
uxterm,00.24,100,30872
uxterm,00.24,98,31060
uxterm,00.24,98,30976
xfce4-terminal,00.22,101,36612
xfce4-terminal,00.22,98,36404
xfce4-terminal,00.24,97,35804
xfce4-terminal,00.24,97,36072
xfce4-terminal,00.22,99,36996
xfce4-terminal,00.24,95,35640
xfce4-terminal,00.25,97,36140
xfce4-terminal,00.22,98,36296
xfce4-terminal,00.22,100,36640
xfce4-terminal,00.22,101,36592
konsole,00.23,107,51584
konsole,00.24,108,51432
konsole,00.24,108,51408
konsole,00.24,107,51256
konsole,00.24,108,51584
konsole,00.23,107,51504
konsole,00.23,108,51424
konsole,00.23,108,51240
konsole,00.24,106,51276
konsole,00.23,108,51400
pterm,00.18,111,21780
pterm,00.17,115,21992
pterm,00.16,114,21896
pterm,00.16,114,21988
pterm,00.16,116,21896
pterm,00.16,115,21544
pterm,00.16,114,22044
pterm,00.13,116,21644
pterm,00.16,113,21864
pterm,00.17,116,21812
urxvt,00.12,119,24036
urxvt,00.12,119,23984
urxvt,00.12,121,24152
urxvt,00.12,115,24340
urxvt,00.12,118,24132
urxvt,00.12,120,24384
urxvt,00.12,121,24128
urxvt,00.12,113,24092
urxvt,00.12,120,24216
urxvt,00.12,120,24100
stterm,00.07,128,8136
stterm,00.07,129,8056
stterm,00.08,130,8112
stterm,00.07,129,8224
stterm,00.08,131,8268
stterm,00.07,131,8108
stterm,00.08,131,8124
stterm,00.07,136,8112
stterm,00.07,129,8064
stterm,00.07,128,8256
mlterm,00.14,118,11532
mlterm,00.15,117,11356
mlterm,00.14,111,11564
mlterm,00.15,112,11392
mlterm,00.14,118,11388
mlterm,00.14,114,11412
mlterm,00.14,120,11680
mlterm,00.15,119,11352
mlterm,00.15,114,11364
mlterm,00.15,118,11376
